OBJECTID	COMPOUND_KEY_12	FELTNR	STATION_NAME	AREAL_NOR	AREAL_UTM33	MERKNAD	NODE_TETTH	REG_DATO	REGULERT	GRAD_1085	GRAD_FELT	GRAD_ELV	HEIGHT_MIN	HEIGHT_10	HEIGHT_20	HEIGHT_30	HEIGHT_40	HEIGHT_50	HEIGHT_60	HEIGHT_70	HEIGHT_80	HEIGHT_90	HEIGHT_MAX	FELT_LE_KM	ELV_LE_KM	VINKEL_TERR	JORDBRUKPRO	MYRPRO	EFF_MYR	EFF_SJO	SKOGPRO	BREPRO	SJOPRO	SNAUFJPRO	URBANPRO	INTENS_MAX	NORM_AAR	UTMSONE_TPKT	UTM_OST_TPKT	UTM_NORD_TPKT	UTMSONE_INNL	UTM_OST_INNL	UTM_NORD_INNL	SUM_AREALPRO	VASSOMR
4586	2700024000	939	Helleland	184.72	184.72	 	0	20120412	1921	15.16	35.71	16.98	86	184	215	315	401	489	543	592	636	683	904	27.36	34.56	219.07	4.08	1.12	0	1.147948387	22.62	0	8.35	48.35	0.03	0	0	33	-2393	6526566	33	9904	6533437	84.55	27
4593	200291000	177	Tora	262.27	262.27	 	0	20110118	1982	27.24	20.56	29.31	717	1224	1337	1389	1444	1485	1516	1556	1615	1704	2006	20.79	28.38	330.83	0.01	0	0	0.39	0.07	5.4	6.23	87.42	0	0	0	33	129672	6905215	33	135259	6912097	99.13	2
4599	31100460000	2242	Engeren	390.7305425	394.83	 	0	20040203	1940	-999	0	-999	472	583	705	770	810	837	874	907	948	1008	1207	26.18852416	-999	0	0.94	15.62	0	2.988694372	47.44	0	4.07	28.24	0.04	0	0	0	0	0	0	0	0	96.35	311
4646	10900042000	1585	Elvehøy Bru	2437.41	2437.41	 	0	20110715	1973	9.312360931	0	12.59225249	34	660	857	1016	1129	1217	1291	1362	1443	1555	2283	65.7650082	126.4269439	0	1.86	1.78	0	0.07323784	17.65	0.79	2.88	69.56	0.16	0	0	0	0	0	0	0	0	94.68	109
4665	12700013000	1731	Dillfoss	447.5667112	479.64	 	0	20040202	0	8.222133082	16.66	10.17376165	39	271	356	421	469	507	538	565	598	643	1031	33.52531772	53.18976584	316.42	1.43	21.26	0	0.190378303	41.09	0	2.65	21.15	0.06	0	0	33	350256	7065907	33	365578	7071803	87.64	127
4681	1900107000	770	Lilleelv	39.32	39.32	 	0	20131204	0	3.9	15.91	7.9	17	41	54	65	78	86	96	105	117	131	205	13.96	17.59	135.71	4.05	1.61	0	2.047297208	87.66	0	5.09	0	0.46	0	0	33	133006	6500984	33	134990	6506766	98.87	19
4682	1200192000	514	Sundbyfoss	74.68	74.68	 	0	20110307	0	-999	18.61	-999	54	79	101	130	162	195	253	325	391	450	625	11.61179837	-999	177.82	12.61	0.63	0	0.419471599	84.05	0	1.15	0	1.03	0	0	33	220476	6606107	33	215882	6614349	99.47	12
4711	200268000	160	Akslen	790.9	790.9	 	0	20140220	0	17.38511921	28.94	21.41202381	476	955	1138	1280	1384	1467	1559	1672	1804	1938	2462	35.94488339	48.01040803	322.22	0.632191175	0.379314705	0	0.061167165	11.37944114	10.8736882	1.896573524	71.05828803	0	0	0	33	144035	6855398	33	133260	6863096	96.38	2
4725	200634000	2261	Lena	182.6	182.6		0	20111209	0	17.07140422	0	16.18542141	223	314	359	384	411	431	464	518	570	611	757	22.63293885	28.89822811	0	34.69	9.3	0	0.029011396	50.5	0	1.35	0	0.6	0	0	0	0	0	0	0	0	96.44	2
4733	8700010000	2280	Gloppenelv v/Bergheim	217.12	217.12		0	20090223	0	-999	0	-999	138	331	568	757	906	1045	1157	1274	1405	1558	1823	23.87792082	-999	0	3.15	0.26	0	0.25546631	16.16	19.17	1.15	51.27	0	0	0	0	0	0	0	0	0	91.16	87
4737	200633000	2281	Stortorp	87.13	87.13		0	20111209	0	5.117044588	0	6.416294191	111	120	138	151	163	178	189	201	213	227	323	13.21388742	16.6762927	0	4.12	5.39	0	0.421802722	86.26	0	3.72	0	0.03	0	0	0	0	0	0	0	0	99.52	2
4743	21200027000	2290	Eibyelva v/Hammeren	622.51	624.18		0	20110913	0	4.537282911	0	7.019365716	105	385	421	450	470	488	505	528	564	613	782	40.65267041	52.89509267	0	0	6.15	0	0.537747249	22.22	0	7.2	55.13	0	0	0	0	0	0	0	0	0	90.7	212
4779	17400011000	2336	Taraldsvikelv	2.84	2.84		0	20110713	0	239.944926	0	262.9580904	292	473	556	617	677	752	825	888	961	1042	1262	2.620570792	2.289414252	0	0	0.35	0	0.001702564	15.14	0	0.35	82.75	0	0	0	0	0	0	0	0	0	98.59	174
4800	1500174000	2385	Istreelva vannstand	25.58	25.58		0	20110715	0	2.588626716	0	3.382780412	10	21	25	30	34	36	39	44	52	65	113	6.355486931	10.81654602	0	49.41	1.21	0	0.031084272	44.21	0	0.47	0	1.84	0	0	0	0	0	0	0	0	97.14	15
