"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Max_corr" "Month" "R_sig"
"234.18" -0.0159559158795515 -0.0349392940237934 0.0401225078055058 0.0496012308163022 0.325392080176582 0.832362869112689 0.611977977165864 0.832362869112689 6 0.382616137913506
"24.8" 0.134675336505412 0.529172589992552 0.0813697006162243 0.356181124960572 0.33555820378553 0.226069877086776 0.0322632109276488 0.529172589992552 2 0.22621727456275
"24.9" 0.055271578288656 0.181751788298517 0.320474629842826 0.389902281248419 0.627841770608403 0.364730528454611 0.310740083076791 0.627841770608403 5 0.382616137913506
"247.3" 0.117367603332456 0.120161130816796 0.166418407883314 0.224836272667676 0.418246767875096 0.858003256985182 0.519172166097156 0.858003256985182 6 0.22621727456275
"25.24" -0.00565880772513537 0.0719682220825454 0.0979825368951253 0.0778331889462052 0.140277639137968 0.485516187747333 0.464597923346917 0.485516187747333 6 0.382616137913506
"26.20" 0.00571436206208591 0.129283968914906 -0.0610151309585977 0.235005328403203 0.366453841191921 0.00915043818025494 0.379078388840325 0.379078388840325 7 0.22621727456275
"26.26" -0.0218369083071499 -0.00460242354994641 0.0362516221924261 0.00214829706155148 0.00721324436883771 0.178262557569042 0.104875967055001 0.178262557569042 6 0.382616137913506
"26.29" -0.14862524776999 -0.0544228309843276 -0.124788770194921 -0.013857224441361 -0.139408491125308 -0.0790970300246059 0.128598228217298 0.128598228217298 7 0.22621727456275
"27.24" 0.129397822338678 0.3700940264421 0.0891499740079555 0.117265580529074 0.361460568806582 0.307869109083848 0.0286544674755983 0.3700940264421 2 0.382616137913506
"28.7" -0.0329618144199989 -0.124356352095563 0.18987542720593 0.0315840898515249 0.228932567136197 0.0283741275918807 0.227802490653867 0.228932567136197 5 0.22621727456275
"3.22" 0.0897146817056507 0.571530568717218 0.588041887401133 0.554569716804572 0.305769742573697 0.11622876329598 0.343510199783976 0.588041887401133 3 0.382616137913506
"311.460" 0.278173797188456 0.284644356446247 0.366668728318504 0.452960594897046 0.560004190789626 0.823984031859178 0.537236722550457 0.823984031859178 6 0.22621727456275
